,order_id,order_status,payment_status,product_name,date,sku,qty,unit_price,paid_amount,paid_amount_calculated_no_ship_cost,paid_amount_calculated,logistic_cost,logistic_type
1436,2000011339853542,paid,approved,Furadeira Parafusadeira Gambit Kit Profissional Com Maleta,2025-04-16 08:10:56-03:00,DVPARAFUSA01,1,142.5,142.5,142.5,142.5,0.0,fulfillment
1437,2000011339899492,paid,approved,Furadeira Parafusadeira Gambit Kit Profissional Com Maleta,2025-04-16 08:19:00-03:00,DVPARAFUSA01,1,142.5,142.5,142.5,142.5,0.0,fulfillment
1438,2000011339930268,paid,approved,Colchão Inflável De Casal Com Bomba De Ar,2025-04-16 08:21:59-03:00,DVCOLCHAO01,1,177.48,177.48,177.48,177.48,0.0,fulfillment
1439,2000011339933532,paid,approved,Central Multimidia 9pol 2gb 32gb Quadcore Carplay E Android,2025-04-16 08:25:25-03:00,DVMULTIMIDIA9_2_32,1,446.5,446.5,446.5,446.5,0.0,fulfillment
1440,2000011339950452,paid,approved,Colchão Inflável De Casal Com Bomba De Ar,2025-04-16 08:26:27-03:00,DVCOLCHAO01,1,177.48,177.48,177.48,177.48,0.0,fulfillment
1441,2000011339983312,paid,approved,Furadeira Parafusadeira Gambit Kit Profissional Com Maleta,2025-04-16 08:38:07-03:00,DVPARAFUSA01,1,142.5,170.4,142.5,170.4,27.9,fulfillment
1442,2000011340060368,paid,approved,Lavadora Portátil Premium Com Bateria Max De Longa Duração Sem Fio Ar Condicionado Carros Motos,2025-04-16 08:45:34-03:00,DVLAVADORAPREMIUM,1,147.4,147.4,147.4,147.4,0.0,fulfillment
1443,2000011340090432,paid,approved,Lavadora Portátil Sem Fio Ar Condicionado Carros Motos Bicicletas Sem Fio Ar Condicionado Carros Motos,2025-04-16 08:51:04-03:00,DVLAVADORASTANDARD,1,126.0,126.0,126.0,126.0,0.0,fulfillment
1444,2000011340081756,paid,approved,Lavadora Portátil Sem Fio Ar Condicionado Carros Motos Bicicletas Sem Fio Ar Condicionado Carros Motos,2025-04-16 08:53:43-03:00,DVLAVADORASTANDARD,1,126.0,126.0,126.0,126.0,0.0,fulfillment
1445,2000011340152230,paid,approved,Furadeira Parafusadeira Gambit Kit Profissional Com Maleta,2025-04-16 09:00:27-03:00,DVPARAFUSA01,1,142.5,142.5,142.5,142.5,0.0,fulfillment
1446,2000011340172534,paid,approved,Colchão Inflável De Casal Com Bomba De Ar,2025-04-16 09:04:22-03:00,DVCOLCHAO01,2,177.48,354.96,354.96,354.96,0.0,self_service
1447,2000011340181244,paid,approved,Central Multimidia 7pol 2gb 32gb Quadcore Carplay E Android Cor Preto,2025-04-16 09:11:45-03:00,DVMULTIMIDIA7_2_32,1,441.6,441.6,441.6,441.6,0.0,fulfillment
1448,2000011340218816,paid,approved,Colchão Inflável De Casal Com Bomba De Ar,2025-04-16 09:12:41-03:00,DVCOLCHAO01,1,177.48,188.23,177.48,188.23,10.75,fulfillment
1449,2000011340240694,paid,approved,Lavadora Portátil Sem Fio Ar Condicionado Carros Motos Bicicletas Sem Fio Ar Condicionado Carros Motos,2025-04-16 09:17:05-03:00,DVLAVADORASTANDARD,1,126.0,126.0,126.0,126.0,0.0,fulfillment
1450,2000011340264930,paid,approved,Calibrador Compressor Pneu Digital Carro Bike Moto Sem Fio,2025-04-16 09:21:04-03:00,DVCALIBPORTCZK,1,125.4,125.4,125.4,125.4,0.0,fulfillment
1451,2000011340294706,paid,approved,Câmera De Ré Automotiva 2 Em 1 Colorida Borboleta E Embutir Vision Carro Segurança,2025-04-16 09:21:53-03:00,DV_CAMERARE,1,23.66,47.56,23.66,47.56,23.9,fulfillment
1452,2000011340331452,paid,approved,Colchão Inflável De Casal Com Bomba De Ar,2025-04-16 09:26:12-03:00,DVCOLCHAO01,1,177.48,177.48,177.48,177.48,0.0,fulfillment
1453,2000011340363794,paid,approved,Câmera De Ré Automotiva 2 Em 1 Colorida Borboleta E Embutir Vision Carro Segurança,2025-04-16 09:29:38-03:00,DV_CAMERARE,1,23.66,23.66,23.66,23.66,0.0,fulfillment
1454,2000011340394022,paid,approved,Colchão Inflável De Casal Com Bomba De Ar,2025-04-16 09:32:23-03:00,DVCOLCHAO01,1,177.48,177.48,177.48,177.48,0.0,fulfillment
1455,2000011340381512,paid,approved,Furadeira Parafusadeira Gambit Kit Profissional Com Maleta,2025-04-16 09:33:37-03:00,DVPARAFUSA01,1,142.5,142.5,142.5,142.5,0.0,fulfillment
1456,2000011340416112,paid,approved,Colchão Inflável De Casal Com Bomba De Ar,2025-04-16 09:34:25-03:00,DVCOLCHAO01,1,177.48,177.48,177.48,177.48,0.0,fulfillment
1457,2000011340430832,paid,approved,Colchão Inflável De Casal Com Bomba De Ar,2025-04-16 09:37:29-03:00,DVCOLCHAO01,2,177.48,354.96,354.96,354.96,0.0,fulfillment
